run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,channel_prob,learning_rate
exp12_rate044_A_patch_cb2048-16-20260701-163122,1,0.70997448,0.17979726,0.06194056,0.06194056,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,2,0.06509609,0.05379704,0.03900512,0.03900512,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,3,0.04858713,0.03567336,0.03438782,0.03438782,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,4,0.04224168,0.02838360,0.05574833,0.03438782,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,5,0.03849827,0.02162189,0.03874280,0.03438782,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,6,0.03440424,0.01700390,0.02827326,0.02827326,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,7,0.03237215,0.01483416,0.02814675,0.02814675,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,8,0.02968108,0.01324444,0.02244687,0.02244687,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,9,0.02994389,0.01237381,0.03061474,0.02244687,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,10,0.02705119,0.01113086,0.01985676,0.01985676,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,11,0.02850319,0.01061806,0.02046963,0.01985676,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,12,0.02505846,0.00975497,0.02473157,0.01985676,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,13,0.02406501,0.00986799,0.01820722,0.01820722,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,14,0.02358948,0.01011955,0.01739229,0.01739229,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,15,0.02245796,0.00997178,0.01870357,0.01739229,0,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,16,0.02210764,0.00986176,0.01685906,0.01685906,1,Phase1-拓荒,0.000000,5e-05
exp12_rate044_A_patch_cb2048-16-20260701-163122,17,0.02160808,0.00971522,0.01661072,0.01661072,1,Phase1-拓荒,0.000000,5e-05
